nquest;versao;pf1;idade1;idade;sexo;p1;p2;p2a;p2b;p2c;p3a;p3b;p3c;p3d;p3e;p3f;p3g;p3h;p3i;p3j;p3k;p4a;p4b;p4c;p4d;p4e;p4f;p4g;p4h;p4i;p4j;p4k;p6a;p6b;p6c;p6d;p6e;p6f;p6g;p6h;p6i;p6j;p7a;p7b;p7c;p7d;p7e;p7f;p7g;p7h;p8a;p8b;p8c;p9;p10;p11;p12;partido;religiao;pea;escola;rendaf;regiao;bairro
37459486;9;1;20;1;2;99;10;13;2;2;4;2;2;4;4;4;4;4;4;1;4;7;0;0;0;0;0;0;0;0;0;0;2;2;2;10;99;10;10;99;10;8;1;1;2;1;1;1;99;3;1;4;5;2;1;99;1;4;9;10;5;1;4;86
37459487;9;1;58;4;2;3;3;13;1;0;3;3;1;4;3;3;3;1;3;3;3;1;4;5;0;0;0;0;0;0;0;0;2;3;8;2;3;6;3;8;8;3;1;1;99;1;1;1;3;3;2;4;6;2;1;99;1;2;6;11;3;1;5;41
37459496;9;1;27;2;1;6;2;45;2;6;4;2;2;4;4;2;2;2;4;2;4;7;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;6;10;3;2;1;2;2;1;2;1;2;2;1;7;2;2;1;1;96;1;7;5;2;4;25
37459500;9;1;54;4;1;99;10;15;1;0;4;3;2;3;4;4;4;2;4;2;4;1;2;3;4;5;6;7;9;11;0;0;6;3;8;10;3;10;10;8;8;8;1;1;3;1;1;1;1;1;8;2;1;2;2;2;1;95;1;7;1;3;4;78
37459502;9;1;41;3;2;99;99;990;0;0;4;3;3;4;4;4;4;3;4;3;4;19;0;0;0;0;0;0;0;0;0;0;6;96;96;96;99;6;96;6;96;96;1;1;3;3;1;1;99;3;1;5;2;3;2;96;1;96;1;10;5;1;4;75
37459532;9;1;18;1;1;99;10;994;2;99;4;2;2;4;4;3;3;3;4;2;4;1;3;4;6;7;9;0;0;0;0;0;2;2;8;10;96;10;10;8;10;8;1;1;3;2;1;2;2;1;1;5;8;2;1;99;1;96;9;1;5;1;2;11
37459557;9;1;65;5;1;6;6;45;1;0;3;1;1;4;4;1;4;1;3;1;4;3;10;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;1;1;1;1;2;8;1;1;2;1;4;6;2;3;2;5;66
37459591;9;1;62;5;2;8;8;50;1;0;4;3;3;4;4;3;3;1;3;1;4;1;2;3;4;5;6;7;9;10;11;0;96;96;8;96;96;96;96;8;8;8;1;1;3;1;1;1;1;99;4;5;3;2;1;96;1;96;6;11;2;1;4;31
37459593;9;1;54;4;2;3;3;13;1;0;4;1;1;4;2;2;2;2;3;1;2;1;2;4;6;7;9;11;0;0;0;0;96;3;8;10;3;10;3;8;10;3;2;1;3;3;1;1;1;1;5;6;7;2;2;1;2;2;2;4;7;4;5;64
37459631;9;1;26;2;1;10;10;15;2;3;3;3;1;4;4;1;3;1;3;1;4;2;0;0;0;0;0;0;0;0;0;0;2;3;2;10;3;10;10;8;10;3;1;1;2;3;1;2;3;2;1;2;5;1;2;1;1;96;9;2;4;1;2;11
37459633;9;1;31;2;1;3;3;13;1;0;4;2;1;3;3;2;2;2;3;2;2;2;0;0;0;0;0;0;0;0;0;0;96;3;8;10;3;10;3;8;10;3;1;1;99;2;1;1;2;1;5;1;8;3;3;1;1;96;6;1;8;3;5;64
37459634;9;1;41;3;1;96;96;996;1;0;4;2;3;4;3;2;3;2;4;2;4;19;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;2;3;2;2;1;3;1;1;8;2;2;1;96;2;96;6;1;5;1;99;994
37459635;9;1;53;4;1;99;96;996;1;0;4;1;1;4;4;1;3;1;3;1;1;3;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;1;1;1;1;1;2;2;1;2;3;1;1;96;1;96;6;1;7;3;5;64
37459640;9;1;32;2;2;10;10;994;1;0;4;4;2;4;3;3;4;2;4;1;4;8;0;0;0;0;0;0;0;0;0;0;99;99;99;10;99;99;10;8;10;99;1;1;99;1;1;99;1;2;1;3;6;1;2;95;1;96;1;10;5;1;4;75
37459641;9;1;35;3;1;96;96;990;2;2;4;2;1;4;4;4;3;3;4;3;4;3;10;0;0;0;0;0;0;0;0;0;2;2;2;2;96;96;96;96;96;96;1;1;3;2;1;2;1;2;2;1;7;2;1;96;1;96;1;4;5;4;3;19
37459642;9;1;54;4;2;3;3;13;1;0;4;2;1;4;4;3;3;2;3;2;4;1;5;6;9;0;0;0;0;0;0;0;2;3;8;2;3;10;3;8;8;3;1;1;3;3;1;1;3;2;5;1;2;2;2;2;1;95;5;12;5;1;4;5
37459645;9;1;54;4;2;99;2;994;1;0;3;1;2;4;4;3;4;3;4;1;4;8;0;0;0;0;0;0;0;0;0;0;2;2;2;10;6;10;10;6;10;3;1;1;2;3;1;1;1;1;1;2;5;2;2;1;1;95;6;16;1;1;2;11
37459673;9;1;54;4;2;6;6;45;1;0;4;1;1;4;4;2;4;1;4;1;4;1;3;4;5;7;10;0;0;0;0;0;6;2;2;2;6;6;10;6;10;96;1;3;3;1;1;1;1;1;7;1;4;2;1;2;1;96;2;7;5;4;3;37
37459756;9;1;88;5;1;99;6;994;1;0;4;2;2;4;4;2;4;2;4;2;4;1;4;7;11;0;0;0;0;0;0;0;6;2;2;10;6;6;10;6;10;96;1;3;1;1;2;3;3;1;4;8;1;1;1;2;2;1;6;12;1;3;3;96
37459764;9;1;40;3;2;99;2;994;1;0;4;1;1;4;4;4;4;2;4;2;4;3;10;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;8;8;8;1;1;3;2;1;1;1;2;2;1;5;2;2;2;1;96;6;1;5;2;3;37
37459786;9;1;65;5;2;2;2;994;2;6;4;2;2;4;4;2;3;2;3;1;4;1;3;4;5;7;8;9;11;0;0;0;2;2;2;2;6;10;10;6;10;3;1;1;99;2;1;1;2;99;1;2;5;1;1;1;1;96;1;11;2;2;4;35
37459820;9;1;40;3;2;6;6;45;1;0;4;3;1;4;4;1;3;2;2;1;3;3;8;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;10;6;10;8;1;1;2;2;1;2;2;1;8;1;5;1;2;1;2;98;1;1;5;3;3;37
37459830;9;1;24;1;2;99;10;994;2;3;4;2;2;4;3;4;4;4;4;2;4;6;0;0;0;0;0;0;0;0;0;0;2;3;8;10;3;10;3;8;10;3;1;1;3;2;2;2;1;1;2;8;96;1;3;99;1;96;6;16;5;2;4;5
37459835;9;1;19;1;2;6;6;45;2;11;4;1;1;4;4;3;4;1;3;1;1;5;10;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;3;6;8;8;1;1;2;2;1;1;1;1;8;1;2;2;1;2;1;4;6;8;6;3;3;15
37459843;9;1;65;5;1;6;6;994;1;0;4;1;1;4;3;1;1;1;3;1;2;2;8;10;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;3;3;1;1;1;1;1;7;2;3;3;2;1;96;5;12;7;4;3;49
37459844;9;1;57;4;2;6;6;994;1;0;4;2;2;4;4;2;4;1;4;1;4;2;3;0;0;0;0;0;0;0;0;0;6;96;8;10;6;6;10;6;8;8;1;1;1;1;1;3;3;1;1;2;5;1;1;96;1;4;6;4;5;3;4;36
37459872;9;1;17;1;1;6;6;990;2;10;4;3;3;4;4;1;4;4;3;2;4;2;3;0;0;0;0;0;0;0;0;0;6;96;96;10;6;96;10;6;10;96;1;1;3;1;1;1;3;1;2;1;5;2;1;99;1;96;6;1;3;2;3;22
37459874;9;1;68;5;2;2;2;10;1;0;4;1;1;4;4;1;4;1;4;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;6;10;8;1;1;2;2;1;1;2;1;1;2;3;1;2;2;1;96;2;12;2;1;3;22
37459875;9;1;24;1;2;96;6;994;2;11;4;2;1;4;4;2;4;3;4;1;2;7;0;0;0;0;0;0;0;0;0;0;6;96;2;10;6;6;10;6;10;3;1;1;1;1;1;2;1;1;7;1;2;1;1;96;1;96;2;4;5;1;3;81
37459878;9;1;43;3;1;98;6;45;1;0;4;1;1;4;4;1;1;1;3;1;4;2;3;8;10;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;2;1;2;1;1;1;8;2;1;2;2;1;96;1;4;6;5;4;60
37459881;9;1;30;2;2;2;2;10;1;0;4;1;1;4;3;3;2;3;3;1;3;1;3;4;5;6;7;8;9;10;11;0;2;2;2;2;96;96;96;96;96;96;1;1;1;1;2;1;2;1;1;2;5;1;1;96;1;96;2;1;6;2;3;17
37459919;9;1;70;5;1;6;6;15;1;0;4;1;1;4;4;2;4;1;4;1;4;2;3;8;10;0;0;0;0;0;0;0;6;3;96;10;6;6;10;96;10;8;1;1;99;1;1;1;1;1;6;8;2;2;2;1;1;96;6;1;2;3;2;51
37459926;9;1;56;4;1;99;99;990;0;0;4;1;1;4;4;2;2;1;4;1;4;19;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;2;2;1;2;1;1;1;7;2;1;1;95;1;96;4;12;2;3;2;38
37459929;9;1;28;2;1;10;10;15;2;6;4;1;1;4;2;2;2;1;2;1;2;3;0;0;0;0;0;0;0;0;0;0;6;2;8;10;6;10;10;6;10;8;1;1;3;3;1;1;1;1;1;2;5;2;2;2;1;1;9;10;3;1;4;75
37459932;9;1;51;4;1;2;2;994;1;0;2;1;1;4;4;2;4;1;2;1;4;1;4;5;7;9;11;0;0;0;0;0;2;2;8;2;3;10;10;8;10;8;1;1;3;2;1;1;1;1;5;1;2;1;1;99;1;96;1;9;1;1;4;994
37459934;9;1;19;1;2;2;2;994;1;0;4;1;1;4;4;1;3;3;3;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;6;10;3;1;1;1;1;1;2;1;1;1;4;5;1;1;99;1;96;1;10;5;3;3;56
37459941;9;1;33;2;1;96;96;990;1;0;4;1;1;4;4;3;2;3;4;3;4;3;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;1;1;1;1;1;1;1;1;5;2;1;1;96;1;96;1;10;5;2;4;47
37459942;9;1;20;1;1;3;3;13;1;0;4;1;1;4;3;1;1;1;2;1;3;7;0;0;0;0;0;0;0;0;0;0;99;3;8;2;3;96;3;8;8;3;1;1;2;2;2;1;2;1;2;8;5;2;2;99;1;96;10;1;5;3;3;69
37459943;9;1;79;5;1;2;2;994;1;0;4;2;2;4;4;4;4;2;4;2;4;1;5;10;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;6;8;8;1;1;1;1;1;1;1;1;1;6;5;1;1;2;1;96;6;12;2;3;5;2
37459946;9;1;58;4;2;98;3;994;99;0;4;2;1;4;4;2;4;1;4;3;4;2;0;0;0;0;0;0;0;0;0;0;99;3;8;10;99;96;10;99;99;99;1;1;2;2;2;99;3;2;1;3;5;1;2;99;1;96;2;1;5;2;4;75
37459981;9;1;25;2;2;99;96;996;2;3;4;2;1;4;4;2;1;2;4;1;4;2;0;0;0;0;0;0;0;0;0;0;6;3;8;10;3;10;3;8;10;3;1;1;2;3;2;2;1;2;1;7;8;2;2;1;1;96;3;1;7;3;1;49
37459987;9;1;47;4;2;99;2;994;2;6;4;2;2;4;3;2;3;2;3;2;4;8;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;3;6;10;3;1;1;3;1;1;1;3;1;1;2;3;2;2;2;1;4;1;1;5;1;3;23
37459995;9;1;31;2;1;10;10;15;1;0;4;1;1;4;3;2;2;2;2;1;2;2;3;0;0;0;0;0;0;0;0;0;6;96;96;10;6;10;10;6;10;96;1;1;1;1;1;1;2;1;1;4;2;2;1;1;1;1;2;1;5;1;4;78
37459999;9;1;59;4;2;99;6;45;2;3;4;2;2;4;4;2;4;1;3;2;4;4;11;0;0;0;0;0;0;0;0;0;6;3;2;10;6;99;3;6;10;3;1;1;2;2;1;2;1;2;1;2;5;1;1;2;1;4;6;1;7;1;3;33
37460001;9;1;18;1;1;98;10;994;2;96;3;3;2;4;4;4;3;4;3;1;4;2;0;0;0;0;0;0;0;0;0;0;6;2;8;10;3;10;10;6;10;3;1;1;2;2;1;2;2;2;1;2;5;3;2;99;1;2;1;2;2;1;5;62
37460017;9;1;31;2;2;99;99;990;0;0;3;2;2;3;3;3;3;3;3;3;4;5;0;0;0;0;0;0;0;0;0;0;2;96;2;10;96;10;10;96;10;96;1;1;1;2;1;1;1;1;1;2;5;99;2;1;1;96;6;10;5;2;5;66
37460027;9;1;54;4;1;99;7;994;2;9;3;3;1;3;4;3;3;3;3;1;3;3;0;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;96;6;8;8;1;1;1;1;1;1;1;1;5;7;1;2;1;2;1;96;9;1;4;1;4;78
37460032;9;1;51;4;1;3;3;13;1;0;4;2;1;4;4;3;3;1;3;3;3;7;0;0;0;0;0;0;0;0;0;0;2;3;8;10;3;10;3;8;8;3;1;1;1;1;1;1;1;1;5;1;2;99;1;1;1;2;6;16;6;3;3;14
37460070;9;1;18;1;2;3;3;13;2;8;4;2;1;4;4;1;4;1;4;1;4;2;6;0;0;0;0;0;0;0;0;0;96;3;8;96;3;96;3;8;8;3;1;1;3;3;1;1;1;2;1;2;7;2;2;99;1;96;3;1;6;3;2;50
37460077;9;1;47;4;1;96;3;994;2;96;4;4;2;4;4;4;4;2;4;2;4;2;6;9;0;0;0;0;0;0;0;0;96;96;8;96;96;96;3;96;96;96;1;1;2;1;1;1;1;1;1;2;8;2;2;1;1;2;6;1;5;2;4;76
37460102;9;1;21;1;1;99;2;10;2;6;4;1;2;4;4;2;3;3;3;1;4;3;10;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;10;6;10;8;1;1;2;1;1;1;1;1;4;1;8;2;1;99;1;4;2;7;5;2;4;5
37460104;9;1;63;5;2;99;10;13;1;0;4;3;3;4;4;4;3;2;4;2;4;2;0;0;0;0;0;0;0;0;0;0;6;3;8;10;6;10;10;6;10;3;1;1;1;1;1;99;99;1;1;5;2;1;1;1;1;96;2;11;1;1;3;69
37460110;9;1;50;4;1;6;6;45;2;10;4;2;4;4;4;2;4;3;4;1;4;1;4;11;0;0;0;0;0;0;0;0;6;2;2;10;6;10;10;6;10;8;1;1;3;1;1;1;3;1;8;1;2;1;1;99;1;4;6;10;3;3;4;75
37460117;9;1;64;5;2;3;3;13;1;0;4;2;1;4;4;2;3;1;4;1;2;1;2;4;5;7;9;11;0;0;0;0;6;3;8;10;3;10;3;6;10;3;1;1;3;3;1;2;2;1;5;1;2;2;2;2;1;4;9;1;7;5;1;26
37460171;9;1;34;2;2;99;2;994;2;99;4;1;1;4;4;4;2;1;4;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;8;10;8;1;1;2;3;1;1;2;2;1;5;2;1;1;99;1;95;3;1;7;1;3;22
37460172;9;1;74;5;2;6;96;45;2;6;4;2;2;4;4;2;2;2;2;2;4;7;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;3;1;3;1;5;7;1;1;2;1;96;6;12;3;1;4;60
37460184;9;1;50;4;2;99;5;45;2;99;3;1;4;4;2;4;2;2;3;2;4;4;7;0;0;0;0;0;0;0;0;0;2;2;2;2;99;10;10;6;10;8;1;1;3;1;1;1;1;1;1;5;6;2;1;2;1;96;10;1;1;1;4;7
37460197;9;1;31;2;2;2;2;10;1;0;4;1;2;4;4;3;4;4;4;1;4;1;4;5;7;8;9;11;0;0;0;0;2;2;2;2;3;10;10;96;10;3;1;1;3;3;1;1;1;2;1;7;5;2;2;1;1;96;1;16;3;1;4;78
37460198;9;1;54;4;2;99;6;45;2;96;4;1;1;4;3;2;3;1;4;1;3;1;4;8;9;11;0;0;0;0;0;0;6;3;96;96;6;6;3;6;96;3;1;1;3;2;1;1;1;1;1;5;7;2;2;1;1;96;6;7;5;3;4;78
37460218;9;1;36;3;1;6;6;45;1;0;4;1;1;4;4;1;3;2;4;1;3;2;3;0;0;0;0;0;0;0;0;0;6;96;96;10;6;6;10;6;10;96;1;1;1;1;1;2;1;1;1;2;3;1;1;99;1;96;6;1;7;4;5;73
37460222;9;1;54;4;1;3;3;13;1;0;4;2;1;4;4;2;2;1;4;1;4;1;2;4;5;6;7;9;10;11;0;0;96;3;8;96;3;96;3;8;8;3;1;1;3;3;1;1;3;1;5;1;8;2;2;1;1;2;6;4;6;4;4;20
37460244;9;1;29;2;2;99;10;994;1;0;4;3;3;4;4;3;3;3;3;1;3;3;6;9;0;0;0;0;0;0;0;0;96;96;8;10;96;10;10;8;10;8;1;1;1;2;1;2;1;1;1;2;3;1;1;2;1;96;9;7;4;2;3;19
37460249;9;1;34;2;1;2;2;10;1;0;4;1;1;4;4;2;4;2;3;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;8;10;8;1;1;3;1;1;1;1;3;1;5;96;3;1;1;1;96;6;4;2;1;5;64
37460267;9;1;19;1;2;10;10;994;1;0;4;2;3;2;2;4;4;2;4;1;4;1;2;3;5;6;7;8;9;11;0;0;99;99;99;10;99;10;10;8;10;8;1;3;3;1;3;99;2;2;7;1;2;2;2;99;1;96;1;1;4;1;4;75
37460285;9;1;68;5;2;99;96;996;2;2;4;1;1;4;4;2;3;1;3;1;3;8;10;0;0;0;0;0;0;0;0;0;2;99;2;96;99;99;96;96;96;96;1;1;2;2;1;99;1;2;1;2;4;2;1;99;1;96;6;12;5;2;2;51
37460289;9;1;39;3;1;2;6;994;2;2;3;1;4;4;2;1;1;1;2;1;4;10;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;6;8;3;1;1;2;1;1;1;1;2;1;4;6;1;1;2;2;96;1;7;2;1;2;94
37460312;9;1;30;2;1;99;2;994;1;0;4;1;1;4;4;3;1;4;4;1;4;1;3;4;5;6;7;8;9;10;11;0;2;2;2;2;96;6;96;96;8;8;1;1;3;3;1;1;1;1;5;1;2;2;2;1;1;2;6;4;6;3;3;42
37460358;9;1;44;3;1;99;8;994;2;10;4;1;1;4;4;1;1;1;4;1;4;7;0;0;0;0;0;0;0;0;0;0;2;3;8;10;3;10;10;8;10;8;1;1;1;1;1;1;1;1;1;8;7;2;1;1;1;96;6;1;5;3;4;89
37460361;9;1;53;4;2;99;3;994;2;6;3;2;2;4;4;2;3;3;4;1;4;5;10;0;0;0;0;0;0;0;0;0;6;3;2;2;3;10;3;6;10;3;1;1;2;1;1;2;1;1;1;7;4;2;2;2;1;96;6;1;2;1;3;17
37460373;9;1;69;5;2;6;6;45;1;0;4;1;1;4;4;2;3;1;4;1;4;2;3;10;0;0;0;0;0;0;0;0;6;2;2;10;6;6;10;6;10;96;1;1;1;1;1;1;3;1;4;3;1;1;1;2;1;4;6;12;7;3;5;2
37460392;9;1;19;1;2;99;6;45;2;3;4;3;2;4;4;3;3;4;4;2;4;99;0;0;0;0;0;0;0;0;0;0;6;3;2;2;3;6;3;6;10;3;1;1;3;3;1;2;1;1;1;2;5;3;3;99;1;96;1;10;4;1;2;83
37460396;9;1;21;1;1;99;96;996;2;10;4;3;3;4;4;4;4;4;4;3;4;7;0;0;0;0;0;0;0;0;0;0;6;3;2;10;3;10;10;6;10;3;1;1;1;1;1;1;1;1;5;2;1;1;1;1;1;96;6;1;5;2;5;66
37460436;9;1;39;3;1;99;2;10;2;6;4;1;1;4;3;1;3;1;4;1;4;7;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;6;10;3;1;1;1;3;3;1;3;1;2;8;4;1;1;1;1;96;6;10;4;3;2;13
37460437;9;1;30;2;2;2;10;15;2;2;4;1;1;4;2;2;4;2;4;1;4;3;4;5;8;11;0;0;0;0;0;0;2;2;2;10;3;10;10;6;10;3;1;1;3;3;1;1;1;1;7;8;1;2;2;99;1;96;9;11;5;1;4;36
37460442;9;1;54;4;2;6;6;45;1;0;4;1;1;4;4;2;2;1;4;1;3;3;5;7;8;10;0;0;0;0;0;0;6;2;2;2;6;6;10;6;10;3;1;1;2;1;1;1;1;2;7;1;2;1;1;2;1;96;6;11;5;3;4;28
37460452;9;1;51;4;1;3;3;13;1;0;3;1;1;4;4;1;1;1;1;1;3;2;6;9;10;0;0;0;0;0;0;0;96;3;8;96;3;96;3;8;8;3;1;1;2;2;1;1;1;1;2;8;6;2;2;1;1;2;9;3;7;4;4;994
37460459;9;1;33;2;1;6;6;45;2;10;4;2;1;4;3;1;3;1;2;1;3;3;0;0;0;0;0;0;0;0;0;0;6;96;96;10;6;6;10;6;10;8;1;1;1;1;1;1;1;1;1;2;5;2;1;2;1;96;6;1;7;4;3;42
37460470;9;1;52;4;2;3;3;994;2;8;4;2;2;4;4;2;3;2;2;2;4;10;0;0;0;0;0;0;0;0;0;0;96;3;8;96;3;96;3;8;8;3;1;1;3;2;1;1;2;1;1;8;5;2;1;1;1;96;6;1;5;1;4;31
37460471;9;1;68;5;2;8;8;994;1;0;3;3;1;4;4;4;3;1;3;1;4;3;0;0;0;0;0;0;0;0;0;0;96;96;8;96;6;96;96;8;8;8;1;1;3;1;1;1;1;1;2;5;8;3;1;1;1;96;6;12;1;1;4;75
37460476;9;1;28;2;1;2;2;10;1;0;4;1;2;4;4;4;2;2;4;2;4;3;10;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;8;8;8;1;1;2;2;2;2;2;1;1;2;8;1;2;2;1;96;9;1;4;2;3;17
37460477;9;1;49;4;1;96;96;990;1;0;3;3;3;3;3;3;3;3;3;3;3;19;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;1;2;1;1;1;1;2;1;7;5;2;1;1;2;96;1;1;5;1;3;994
37460504;9;1;54;4;1;99;6;994;2;2;4;3;3;4;4;3;4;2;4;2;4;3;4;5;7;8;9;10;11;0;0;0;6;2;2;2;6;6;10;6;96;96;1;1;3;1;1;1;1;1;1;4;2;2;1;95;1;96;1;7;1;2;2;11
37460506;9;1;51;4;2;2;2;994;1;0;4;1;1;4;4;2;2;1;3;1;4;8;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;10;3;8;10;3;1;1;3;1;1;1;1;1;1;2;6;2;1;2;1;96;6;1;4;1;5;90
37460510;9;1;62;5;1;6;6;45;1;0;4;1;1;4;4;1;3;1;3;1;4;4;0;0;0;0;0;0;0;0;0;0;6;96;8;10;6;6;10;6;10;8;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;96;6;12;5;3;4;75
37460511;9;1;45;4;1;99;2;994;2;6;4;1;2;4;4;4;4;3;4;4;4;1;7;11;0;0;0;0;0;0;0;0;2;2;2;2;96;96;96;96;96;96;2;1;3;2;1;1;1;1;2;1;7;1;1;96;99;96;6;4;4;1;4;1
37460516;9;1;53;4;1;6;6;994;2;96;4;2;1;4;4;2;3;1;4;1;4;3;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;3;1;2;3;1;2;1;2;7;2;1;1;1;96;6;4;5;3;4;5
37460517;9;1;42;3;2;6;6;45;2;10;4;2;3;4;4;2;3;2;3;1;4;3;8;0;0;0;0;0;0;0;0;0;6;96;96;10;6;6;10;6;10;96;1;1;1;1;1;2;1;2;1;5;4;2;1;1;1;96;1;7;5;1;4;47
37460523;9;1;77;5;1;99;2;994;2;99;4;1;1;4;4;2;3;1;4;1;4;1;3;4;5;6;7;8;9;10;11;0;2;2;2;2;96;99;10;96;10;99;1;1;3;1;1;99;3;1;1;2;5;2;2;99;99;96;6;12;1;1;99;29
37460528;9;1;43;3;2;2;2;10;1;0;4;2;1;4;4;3;4;2;3;1;4;3;7;8;10;0;0;0;0;0;0;0;2;2;2;2;6;6;96;6;99;96;1;1;99;1;1;3;3;2;1;2;5;2;1;1;1;96;1;7;5;1;2;94
37460529;9;1;30;2;2;99;99;990;0;0;4;2;3;4;4;3;4;3;4;2;4;3;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;8;8;8;1;1;3;1;1;2;1;1;1;5;8;2;2;2;1;96;6;7;5;1;2;94
37460530;9;1;42;3;2;99;99;990;0;0;4;1;1;4;4;1;2;1;3;1;4;3;8;10;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;2;1;2;1;1;2;1;5;1;3;2;2;96;6;9;8;6;5;2
37460541;9;1;28;2;2;10;10;994;2;2;4;2;2;4;4;2;2;2;2;2;2;4;5;8;0;0;0;0;0;0;0;0;2;2;2;10;6;10;10;6;10;3;1;1;2;2;1;1;1;1;1;5;2;2;2;99;1;96;2;11;6;1;4;47
37460567;9;1;56;4;2;2;4;994;1;0;4;1;1;1;4;4;1;4;1;1;1;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;8;8;3;1;1;3;1;1;3;1;3;1;2;7;1;1;99;1;98;6;11;7;1;4;1
37460568;9;1;53;4;2;98;6;45;1;0;4;1;1;4;4;2;3;3;3;1;4;2;3;10;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;1;1;1;1;4;7;1;1;96;1;95;5;4;5;2;3;15
37460576;9;1;35;3;1;98;3;13;1;0;4;3;1;4;4;4;3;4;4;2;4;6;9;0;0;0;0;0;0;0;0;0;2;3;2;10;3;10;3;96;10;3;1;1;3;3;1;1;1;1;8;1;7;1;1;1;1;2;6;1;2;3;3;17
37460617;9;1;29;2;1;6;6;994;1;0;4;1;1;4;2;1;1;2;1;1;4;3;0;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;96;6;8;8;1;1;3;1;1;3;1;1;1;8;5;1;1;96;1;96;9;1;5;99;99;997
37460620;9;1;38;3;2;3;3;994;1;0;4;1;1;4;4;2;3;1;4;1;4;2;0;0;0;0;0;0;0;0;0;0;96;3;8;10;3;10;3;8;10;3;1;1;3;3;1;2;1;2;1;2;5;1;2;1;1;96;9;4;8;4;3;49
37460629;9;1;61;5;2;10;3;994;2;2;4;1;1;4;4;4;4;1;4;2;4;8;0;0;0;0;0;0;0;0;0;0;99;99;2;10;3;10;10;99;10;99;1;1;3;3;1;1;99;1;1;2;6;2;1;2;1;96;6;2;3;1;4;47
37460649;9;1;36;3;2;96;96;990;1;0;4;2;1;4;4;2;3;1;2;1;3;2;3;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;8;96;1;1;2;2;1;1;1;2;1;7;5;3;3;1;1;96;9;11;7;3;3;45
37460663;9;1;37;3;2;10;10;994;1;0;4;2;1;4;4;3;3;4;3;1;3;6;0;0;0;0;0;0;0;0;0;0;2;3;2;10;3;10;10;96;10;3;1;1;3;3;1;1;1;1;5;7;8;2;1;1;1;96;1;1;2;4;3;45
37460684;9;1;34;2;2;99;99;990;0;0;4;2;2;4;4;3;3;2;2;2;4;3;11;0;0;0;0;0;0;0;0;0;99;2;2;2;6;6;10;8;8;8;1;1;1;1;1;1;1;1;1;7;5;1;1;1;1;96;1;4;4;3;4;36
37460686;9;1;28;2;2;6;6;45;1;0;4;1;1;4;4;2;3;3;4;1;4;3;0;0;0;0;0;0;0;0;0;0;6;2;2;10;6;6;10;6;10;8;1;1;3;3;1;1;1;2;1;2;5;2;2;99;1;96;6;1;5;3;4;43
37460691;9;1;76;5;1;2;2;994;2;3;4;2;2;4;4;4;4;3;4;1;4;11;0;0;0;0;0;0;0;0;0;0;99;3;99;10;3;10;3;8;10;3;1;1;3;2;1;3;1;1;1;5;2;2;2;1;1;2;1;7;1;2;2;11
37460714;9;1;32;2;1;6;6;45;1;0;4;1;1;4;4;1;4;1;4;1;4;10;0;0;0;0;0;0;0;0;0;0;6;3;96;96;6;6;3;6;96;3;1;1;3;3;1;3;1;1;1;2;5;3;3;1;1;4;2;5;7;3;2;50
