nquest;versao;pf1;idade1;idade;sexo;p1;p2;p2a;p2b;p2c;p3a;p3b;p3c;p3d;p3e;p3f;p3g;p3h;p3i;p3j;p3k;p4a;p4b;p4c;p4d;p4e;p4f;p4g;p4h;p4i;p4j;p4k;p6a;p6b;p6c;p6d;p6e;p6f;p6g;p6h;p6i;p6j;p7a;p7b;p7c;p7d;p7e;p7f;p7g;p7h;p8a;p8b;p8c;p9;p10;p11;p12;partido;religiao;pea;escola;rendaf;regiao;bairro
37453059;9;1;34;2;2;99;96;990;2;10;4;3;3;4;4;4;4;2;4;2;4;99;0;0;0;0;0;0;0;0;0;0;6;96;8;10;96;10;10;96;8;96;1;1;99;99;1;1;99;1;1;2;5;99;3;99;1;96;2;11;3;1;3;17
37453100;9;1;54;4;1;6;6;45;1;0;4;1;1;3;2;1;1;1;2;1;2;1;5;0;0;0;0;0;0;0;0;0;6;2;8;2;6;6;10;6;8;8;1;1;2;2;1;2;1;1;1;2;5;3;3;2;1;96;3;3;5;3;5;2
37453102;9;1;39;3;1;10;10;15;2;3;4;3;3;4;4;3;3;3;4;3;4;18;0;0;0;0;0;0;0;0;0;0;96;3;8;10;3;10;10;8;10;8;1;1;2;3;1;1;1;1;2;1;5;1;2;1;1;96;6;7;1;1;4;47
37453142;9;1;37;3;2;2;2;45;2;6;4;1;3;4;4;3;4;2;4;1;4;3;8;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;3;6;10;3;1;1;1;1;1;1;1;1;1;2;4;1;1;1;2;96;6;1;5;3;3;42
37453167;9;1;38;3;2;2;2;994;2;8;4;1;1;4;3;1;3;1;3;1;4;10;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;8;8;8;1;1;2;2;1;1;1;1;1;7;5;2;2;99;1;1;5;3;7;3;5;64
37453176;9;1;59;4;1;2;2;15;1;0;4;1;1;4;4;3;4;1;4;1;4;3;4;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;8;8;8;1;1;3;1;1;1;1;1;1;5;7;1;1;1;1;96;6;16;3;1;3;17
37453219;9;1;18;1;2;99;2;45;2;6;4;2;3;4;3;3;3;3;3;3;4;7;0;0;0;0;0;0;0;0;0;0;2;2;2;10;6;10;10;6;10;3;1;1;3;3;1;1;1;1;7;1;2;2;2;99;1;2;2;7;5;2;4;77
37453251;9;1;45;4;2;99;96;996;1;0;4;3;1;4;4;3;4;3;4;2;4;10;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;1;2;2;1;2;1;2;1;2;5;2;2;1;1;96;1;1;6;1;3;72
37453282;9;1;47;4;1;98;6;45;1;0;1;1;1;4;4;1;1;1;1;1;1;1;2;3;4;5;8;10;0;0;0;0;6;2;2;2;6;6;10;6;10;96;2;2;2;2;3;2;1;2;7;8;3;1;1;2;1;4;6;1;7;4;2;71
37453328;9;1;57;4;2;10;10;990;2;6;4;2;1;4;4;4;3;1;4;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;8;10;6;10;10;8;10;8;1;1;1;1;1;1;2;2;3;1;5;1;2;1;1;96;1;12;7;4;3;45
37453397;9;1;55;4;1;6;6;994;1;0;4;1;1;4;4;3;3;1;3;1;4;8;10;0;0;0;0;0;0;0;0;0;6;3;2;2;6;6;96;6;96;96;1;1;1;2;1;1;1;1;1;7;8;1;1;2;1;96;6;4;4;99;4;78
37453410;9;1;30;2;1;2;2;994;2;99;4;2;1;4;4;4;3;2;2;2;4;3;10;0;0;0;0;0;0;0;0;0;2;96;2;2;96;96;96;96;96;96;1;1;3;3;1;2;2;1;1;2;5;2;2;2;1;96;6;1;5;4;2;13
37453459;9;1;45;4;1;6;6;994;1;0;4;1;1;4;4;1;1;1;1;1;4;1;2;3;4;5;7;8;9;10;11;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;1;2;1;1;5;8;1;1;96;1;96;9;4;2;3;3;17
37453479;9;1;33;2;1;99;2;994;2;3;4;1;1;2;1;4;2;1;4;1;4;3;8;10;0;0;0;0;0;0;0;0;2;2;2;2;3;96;3;6;96;3;2;1;3;3;1;1;1;1;1;5;7;2;2;95;1;96;1;4;5;1;5;995
37453490;9;1;56;4;2;99;2;10;1;0;2;2;3;2;3;2;2;2;2;2;3;1;3;4;5;6;7;8;9;11;0;0;2;2;2;2;3;10;10;8;10;8;1;1;3;2;1;2;1;1;2;1;5;2;1;2;1;96;6;7;2;1;4;31
37453512;9;1;73;5;1;99;10;994;2;3;4;4;2;4;3;4;4;2;4;2;4;3;6;7;0;0;0;0;0;0;0;0;6;3;8;10;6;10;3;6;8;3;1;1;3;3;1;2;1;1;2;6;7;2;2;1;1;96;1;12;2;1;4;46
37453617;9;1;46;4;2;99;10;994;1;0;4;2;1;4;4;1;4;1;2;1;4;8;0;0;0;0;0;0;0;0;0;0;6;3;2;10;3;10;10;6;10;3;1;1;1;1;1;1;1;1;5;1;7;1;1;2;1;96;6;1;3;2;3;17
37453622;9;1;24;1;2;10;10;15;1;0;4;1;1;4;4;2;4;3;4;1;4;7;0;0;0;0;0;0;0;0;0;0;96;3;96;10;3;10;10;96;10;3;1;1;1;1;1;1;1;1;1;2;5;1;1;99;1;96;1;1;5;3;3;42
37453649;9;1;18;1;2;10;10;994;1;0;3;1;2;4;1;3;4;4;4;1;3;2;6;0;0;0;0;0;0;0;0;0;6;3;2;10;6;10;10;6;10;3;1;1;3;2;1;1;1;1;2;1;8;2;2;99;1;2;6;10;5;1;3;42
37453677;9;1;21;1;1;99;6;45;2;99;4;2;2;4;4;2;2;4;4;2;4;1;3;4;5;9;11;0;0;0;0;0;6;2;2;2;6;6;10;6;10;3;1;1;2;2;1;1;1;1;1;2;7;3;1;2;1;96;6;13;6;5;5;96
37453681;9;1;23;1;2;6;6;45;1;0;4;2;1;4;4;1;2;2;2;1;3;2;3;0;0;0;0;0;0;0;0;0;6;96;8;10;6;6;10;6;10;8;1;1;2;2;1;2;2;2;1;2;5;1;1;2;1;98;6;2;7;4;2;29
37453740;9;1;25;2;1;6;6;45;1;0;3;3;3;3;3;3;3;3;3;3;3;3;10;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;2;2;1;1;1;1;1;7;5;1;1;96;1;96;6;1;3;2;3;42
37453743;9;1;23;1;2;10;10;15;1;0;4;2;2;4;4;4;2;2;4;1;4;6;0;0;0;0;0;0;0;0;0;0;2;2;2;10;96;10;10;96;10;96;1;1;3;1;1;2;2;2;1;5;2;1;1;1;1;2;4;11;5;1;4;47
37453746;9;1;36;3;1;96;2;10;2;10;4;2;2;4;4;4;4;2;4;2;4;6;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;10;10;8;10;8;1;1;3;1;1;3;1;1;2;1;5;1;1;1;1;96;6;10;5;1;3;56
37453748;9;1;30;2;1;2;2;10;1;0;4;1;3;4;4;1;1;1;1;1;3;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;6;10;8;1;1;1;3;1;2;1;2;1;7;4;1;1;1;2;96;9;4;6;4;4;31
37453778;9;1;29;2;2;99;99;990;0;0;4;3;1;4;4;3;4;4;4;1;4;8;10;0;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;6;10;3;1;1;99;1;1;1;1;1;7;8;1;2;99;1;1;96;2;7;5;1;4;83
37453784;9;1;60;5;1;99;6;994;2;96;2;2;2;4;4;4;4;2;4;2;4;3;8;10;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;3;2;3;1;3;3;2;3;7;1;2;2;1;96;1;96;6;10;3;1;1;7
